,name,description,rating,best_rating,rating_count,genre,for_family,producer,director,country,time,date
1056,Таксист,Ветеран войны вязнет в пучине одиночества. Абсолютный шедевр Мартина Скорсезе с незабываемым Робертом Де Ниро. Смотрите онлайн на Кинопоиске.,7.791,10.0,154480.0,"['триллер', 'драма', 'криминал']",False,Филлип М. Голдфарб,Мартин Скорсезе,['США'],114,1976
1057,Огонь,Отряд пожарных спасает леса Карелии от пожара. Иван Янковский и Константин Хабенский в фильме-катастрофе. Смотрите онлайн на Кинопоиске.,7.719,10.0,280730.0,"['драма', 'боевик']",True,,,['Россия'],131,2020
1058,Райя и последний дракон,Дочь вождя ищет магическое существо в надежде спасти мир. Новая работа режиссера «Города героев» для Disney. Смотрите онлайн на Кинопоиске.,8.093,10.0,372232.0,"['мультфильм', 'фэнтези', 'боевик', 'драма', 'комедия', 'приключения', 'семейный']",True,Джаред Буш,Дон Холл,['США'],107,2021
1059,Французский вестник. Приложение к газете «Либерти. Канзас ивнинг сан»,"Собрание удивительных историй, опубликованных на страницах последнего выпуска еженедельного американского журнала, который выходил в свет в вымышленном французском городе в середине двадцатого века.",7.533,10.0,62640.0,"['драма', 'мелодрама', 'комедия']",False,Бен Адлер,Уэс Андерсон,"['Германия', 'США']",107,2021
1060,Морбиус,"Майкл Морбиус с детства страдает от редкого заболевания крови и всю сознательную жизнь посвятил поискам лекарства. В какой-то момент Майкл видит возможное спасение в крови летучих мышей и решается на рискованный эксперимент. Опыт вызывает неожиданную реакцию — он меняет тело Морбиуса, превращая его в кровожадного монстра.",5.543,10.0,76886.0,"['ужасы', 'фантастика', 'боевик', 'фэнтези']",True,Ави Арад,Даниэль Эспиноса,['США'],104,2022
1061,Прочь,Знакомство с родителями превращается в настоящий кошмар. Сатирический хоррор Джордана Пила. Смотрите онлайн на Кинопоиске.,7.13,10.0,231955.0,"['ужасы', 'триллер', 'детектив']",False,Джейсон Блум,Джордан Пил,"['США', 'Япония']",104,2017
1062,Реинкарнация,Смерть странной старушки вскрывает правду о жутком семейном проклятии. Дебют-прорыв хоррормейкера Ари Астера. Смотрите онлайн на Кинопоиске.,6.444,10.0,136341.0,"['ужасы', 'драма', 'детектив']",False,Бадди Патрик,Ари Астер,['США'],127,2018
1063,Мальчишник в Вегасе,"Они мечтали устроить незабываемый мальчишник в Вегасе. Но теперь им необходимо вспомнить, что именно произошло: что за ребенок сидит в шкафу номера отеля? Как в ванную попал тигр? Почему у одного из них нет зуба? И, самое главное, куда делся жених? То, что парни вытворяли на вечеринке, не идет ни в какое сравнение с тем, что им придется сделать на трезвую голову, когда они будут шаг за шагом восстанавливать события прошлой ночи.",7.864,10.0,345299.0,['комедия'],True,Тодд Филлипс,Тодд Филлипс,['США'],96,2009
1064,Воины будущего,"2055 год. Планета задыхается от загрязнений и глобального потепления, и, видимо, чтобы окончательно избавиться от человечества, высшие силы посылают на Землю метеорит с агрессивной формой жизни. Этот замечательный организм начинает очищать планету от всего живого, включая людей. Но человечество сдаваться не собирается — хорошо вооруженные гонконгские военные дадут бой инопланетному захватчику.",,,,"['боевик', 'фантастика']",,Луис Ку,Нг Юэнь-Фай,['Гонконг'],99,2022
1065,Добро пожаловать в семью,Сын прокурора влюбляется в дочь сурового вора в законе. Криминальная комедия о белорусских Ромео и Джульетте. Смотрите онлайн на Кинопоиске.,7.403,10.0,239451.0,"['комедия', 'криминал', 'мелодрама']",True,,,['Беларусь'],120,2021
1066,X,"1979 год, Техас. Компания из шести человек арендует небольшой дом у пожилой пары фермеров, чтобы снимать фильм для взрослых. Хотя хозяин недвижимости сразу предупреждает, чтобы приезжие не шумели и вели себя прилично, продюсер, разумеется, пренебрегает его просьбой. Вскоре выяснится, что старички не такие безобидные, как казалось на первый взгляд.",6.083,10.0,11794.0,['ужасы'],False,Джаред Коннон,Тай Уэст,"['США', 'Канада']",105,2022
