,name,description,rating,best_rating,rating_count,genre,for_family,producer,director,country,time,date
296,"Карты, деньги, два ствола","Четверо молодых парней накопили каждый по 25 тысяч фунтов, чтобы один из них мог сыграть в карты с опытным шулером и матерым преступником, известным по кличке Гарри-Топор. Парень в итоге проиграл 500 тысяч, на уплату долга ему дали неделю.

В противном случае и ему и его «спонсорам» каждый день будут отрубать по пальцу, а потом... Чтобы выйти из положения, ребята решили ограбить бандитов, решивших ограбить трех «ботаников», выращивающих марихуану для местного наркобарона. Но на этом приключения четверки не заканчиваются...",8.556,10.0,474267.0,"['боевик', 'комедия', 'криминал']",False,Мэттью Вон,Гай Ричи,['Великобритания'],107,1998
297,Гарри Поттер и философский камень,Гарри поступает в школу магии Хогвартс и заводит друзей. Первая часть большой франшизы о маленьком волшебнике. Смотрите онлайн на Кинопоиске.,8.244,10.0,745538.0,"['фэнтези', 'приключения', 'семейный']",True,Тодд Арноу,Крис Коламбус,"['Великобритания', 'США']",152,2001
298,Прислуга,Журналистка пишет книгу по историям темнокожих служанок. Комедийная драма о борьбе за равноправие в США 1960-х. Смотрите онлайн на Кинопоиске.,8.225,10.0,325274.0,['драма'],True,Майкл Барнатан,Тейт Тейлор,['США'],146,2011
299,Клаус,"Владелец почтовой империи, чтобы научить ленивого отпрыска по имени Джеспер уму-разуму, отправляет его на крайний север в город Смиренсбург. Тот должен организовать там почтовое отделение и за год обработать не менее 6000 писем. Прибыв на место, парень оказывается в зоне боевых действий: два семейных клана, так уж исторически сложилось, питают взаимную ненависть и свято чтут многовековую традицию при любой возможности мутузить друг друга и делать пакости. Разумеется, в такой обстановке не до писем, и почтовое отделение давно превратилось в курятник. Уже практически отчаявшись, Джеспер посещает лесного отшельника по имени Клаус, и их знакомство положит начало удивительным событиям.",8.645,10.0,126048.0,"['мультфильм', 'семейный', 'комедия', 'приключения']",True,Густаво Феррада,Серхио Паблос,"['Испания', 'Великобритания', 'США']",96,2019
300,Титаник,Запретная любовь на фоне гибели легендарного лайнера. Великий фильм-катастрофа — в отреставрированной версии. Смотрите онлайн на Кинопоиске.,8.376,10.0,701498.0,"['мелодрама', 'история', 'триллер', 'драма']",True,Джеймс Кэмерон,Джеймс Кэмерон,"['США', 'Мексика']",194,1997
301,Брат,"Дембель Данила Багров защищает слабых в Петербурге 1990-х. Фильм, сделавший Сергея Бодрова народным героем. Смотрите онлайн на Кинопоиске.",8.282,10.0,918276.0,"['драма', 'криминал', 'боевик']",False,,,['Россия'],100,1997
302,Джентльмены,"Наркобарон хочет уйти на покой, но криминальный мир не отпускает. Успешное возвращение Гая Ричи к корням. Смотрите онлайн на Кинопоиске.",8.524,10.0,1189044.0,"['криминал', 'комедия', 'боевик']",False,Мэттью Андерсон,Гай Ричи,"['Великобритания', 'США']",113,2019
303,Гарри Поттер и узник Азкабана,"Беглый маг, тайны прошлого и путешествия во времени. В третьей части поттерианы Альфонсо Куарон сгущает краски. Смотрите онлайн на Кинопоиске.",8.19,10.0,532590.0,"['фэнтези', 'приключения', 'семейный']",True,Крис Коламбус,Альфонсо Куарон,"['Великобритания', 'США']",142,2004
304,Ходячий замок,Злая колдунья превращает юную Софи в старушку. Волшебная сказка о силе любви по мотивам книги Дианы Уинн Джонс. Смотрите онлайн на Кинопоиске.,8.308,10.0,346458.0,"['аниме', 'мультфильм', 'фэнтези', 'мелодрама', 'приключения']",True,Тосио Судзуки,Хаяо Миядзаки,['Япония'],119,2004
305,Джанго освобожденный,"Метко шутя и стреляя, охотники за головами уничтожают негодяев. Квентин Тарантино пробует силы в вестерне. Смотрите онлайн на Кинопоиске.",8.222,10.0,599842.0,"['вестерн', 'боевик', 'драма', 'комедия']",False,Реджинальд Хадлин,Квентин Тарантино,['США'],165,2012
